id,hometown,habit,age,gender,result
1,Vinh Phuc,marathon,23,female,yes
2,Binh Duong,badminton,21,male,yes
3,Ha Noi,football,21,female,yes
4,Vinh Phuc,badminton,23,male,yes
5,Hai Phong,badminton,18,male,yes
6,Hai Duong,football,21,female,yes
7,Hai Phong,badminton,21,female,no
8,Ca Mau,badminton,18,male,no
9,Ca Mau,marathon,22,male,yes
10,Vinh Phuc,volleyball,22,male,yes
11,Hai Phong,marathon,21,male,no
12,Ha Noi,marathon,19,female,yes
13,Ca Mau,badminton,21,female,no
14,Ca Mau,marathon,20,male,no
15,Vinh Phuc,volleyball,21,female,no
16,Ha Noi,volleyball,20,male,no
17,Binh Duong,badminton,22,female,no
18,Hai Phong,football,18,female,yes
19,Vinh,football,21,female,no
20,Ca Mau,football,20,male,no
21,Binh Duong,volleyball,19,female,yes
22,Ha Noi,marathon,21,male,no
23,Vinh,marathon,18,female,yes
24,Hai Phong,football,19,male,no
25,Hai Phong,football,21,male,yes
26,Ha Noi,football,19,female,yes
27,Ca Mau,football,19,female,yes
28,Vinh Phuc,marathon,22,female,yes
29,Hai Phong,volleyball,21,female,no
30,Binh Duong,marathon,18,female,yes
31,Hai Phong,volleyball,20,male,no
32,Vinh,football,22,male,no
33,Ha Noi,football,23,male,yes
34,Ha Noi,football,22,male,yes
35,Vinh Phuc,football,18,female,no
36,Ca Mau,volleyball,23,male,yes
37,Vinh,volleyball,23,male,yes
38,Binh Duong,marathon,21,female,no
39,Vinh,football,21,male,no
40,Ca Mau,badminton,22,female,no
41,Hai Duong,football,22,male,no
42,Vinh Phuc,badminton,20,male,no
43,Hai Duong,volleyball,18,male,no
44,Binh Duong,volleyball,22,male,yes
45,Vinh Phuc,volleyball,18,female,no
46,Hai Duong,badminton,22,female,no
47,Hai Phong,football,22,male,yes
48,Ha Noi,football,18,female,yes
49,Hai Phong,volleyball,23,female,yes
50,Hai Duong,volleyball,23,male,no
51,Vinh Phuc,football,18,male,yes
52,Hai Phong,marathon,19,male,no
53,Ha Noi,marathon,21,female,no
54,Binh Duong,badminton,20,male,yes
